customer_id,country,city_cluster,age_group,user_tenure_months,marketing_opt_in,pdpa_contact_ok,rides_30d,food_orders_30d,mart_orders_30d,grabpay_txns_30d,finance_products_count,insurance_products_count,ad_clicks_30d,services_used_count,service_diversity_index,primary_service,superapp_segment,promo_response_rate,weekly_active_days,recency_days,association_strength_score,next_best_service,cross_sell_propensity,churn_risk_score,churn_30d_label,trust_score,monthly_gmv_usd,clv_12m_usd,customer_value_tier,priority_support_flag,rush_hour_share,late_night_share,low_supply_zone_share,tourist_or_new_city_flag,assigned_driver_tier,driver_cancel_rate_seen,avg_eta_promised_min,avg_eta_actual_min,eta_gap_min,failed_booking_rate_90d,complaint_count_90d,refund_delay_days_avg,booking_risk_score,bad_booking_label,auto_reassignment_rate,price_sensitivity_segment,avg_base_fare_usd,avg_surge_multiplier,avg_effective_fare_usd,extreme_surge_exposure_rate,waiting_fee_count_90d,abnormal_charge_flags_90d,proactive_refund_rate,price_elasticity_score,fare_fairness_score,surge_cap_recommendation,recommended_action
GRB100011,Indonesia,Bandung,25-34,28,0,0,6,3,1,0,0,0,7,3,0.58,Mobility,Promo Opportunist,0.51,3.3,18,0.19,Food,37.8,23.9,0,71.7,67.71,518.14,Low-Value,0,0.61,0.05,0.55,0,Average,0.18,8.5,13.4,4.9,0.21,4,2.7,61.1,1,0.31,Moderately Sensitive,3.34,1.4,5.48,0.13,2,2,0.13,-1.19,77.5,1.8,Monitor with standard nudges
GRB100012,Cambodia,Phnom Penh,18-24,23,1,1,17,16,4,15,1,0,5,5,0.76,Mobility,Power User,0.23,7.0,5,0.73,Mart,73.8,1.0,0,78.3,302.44,2490.85,High-Value,1,0.38,0.33,0.61,0,Average,0.18,10.0,15.3,5.3,0.19,5,2.6,54.0,0,0.12,Moderately Sensitive,2.71,1.54,4.98,0.31,2,2,0.19,-1.21,63.3,1.8,Monitor with standard nudges
GRB100013,Vietnam,Da Nang,55+,30,1,1,18,15,2,15,2,0,2,5,0.85,Mobility,Power User,0.36,7.0,3,0.69,Mart,68.9,1.0,0,80.1,273.52,2430.46,High-Value,1,0.53,0.17,0.44,0,Average,0.13,8.2,14.6,6.4,0.14,1,1.5,43.6,0,0.07,Convenience-First,3.35,1.55,5.85,0.25,1,2,0.13,-0.57,62.1,2.2,Monitor with standard nudges
GRB100014,Philippines,Cebu,25-34,35,1,1,19,14,5,15,2,0,5,5,0.82,Mobility,Power User,0.26,7.0,28,0.64,Mart,55.9,29.5,0,74.0,338.79,2505.27,High-Value,1,0.38,0.14,0.56,0,High-Risk,0.29,10.3,15.7,5.4,0.25,4,4.6,67.8,1,0.42,Convenience-First,3.84,1.41,6.47,0.25,2,3,0.18,-0.44,64.6,2.2,Monitor with standard nudges
GRB100015,Indonesia,Bandung,25-34,24,1,1,5,6,0,23,1,0,2,4,0.64,GrabPay,Payments Ecosystem User,0.19,4.9,5,0.33,Mart,44.2,6.0,0,75.6,103.74,988.43,Mid-Value,1,0.66,0.09,0.49,0,Average,0.14,10.4,14.5,4.1,0.17,4,3.6,46.3,0,0.11,Highly Sensitive,3.05,1.31,4.39,0.11,1,1,0.12,-1.39,81.8,1.5,Surge cap + fare explanation
GRB100016,Malaysia,Penang,35-44,34,0,0,20,14,4,15,1,0,3,5,0.82,Mobility,Power User,0.26,7.0,1,0.64,Mart,48.8,1.0,0,83.3,294.39,2452.81,High-Value,1,0.53,0.15,0.32,0,Average,0.16,9.1,13.9,4.8,0.19,2,1.6,43.0,0,0.08,Convenience-First,3.77,1.52,6.84,0.29,4,2,0.14,-0.5,65.3,2.2,Monitor with standard nudges
GRB100017,Thailand,Bangkok,35-44,2,1,1,10,2,0,1,1,0,2,4,0.69,Mobility,Ride Specialist,0.26,5.0,23,0.31,Food,47.4,21.7,0,76.2,86.64,858.8,Low-Value,1,0.21,0.22,0.59,1,Average,0.17,7.8,11.1,3.3,0.19,3,2.5,45.0,0,0.05,Moderately Sensitive,3.29,1.3,4.93,0.13,1,2,0.13,-0.9,73.2,1.8,Monitor with standard nudges
GRB100018,Singapore,Singapore Core,55+,39,1,1,9,8,4,22,1,1,5,6,1.0,GrabPay,Power User,0.27,6.1,8,0.41,Mart,55.7,1.0,0,70.2,279.19,2397.46,High-Value,1,0.45,0.3,0.28,0,Average,0.16,7.4,13.2,5.8,0.21,4,2.9,49.0,0,0.05,Convenience-First,9.84,1.26,13.45,0.13,2,3,0.21,-0.43,61.8,2.2,Monitor with standard nudges
GRB100019,Philippines,Metro Manila,18-24,26,1,1,11,9,4,10,2,1,4,6,1.0,Finance,Power User,0.3,6.0,9,0.66,Mart,64.8,1.0,0,78.3,213.34,2017.71,High-Value,1,0.72,0.0,0.57,0,Average,0.17,11.7,16.1,4.4,0.19,5,2.5,43.0,0,0.11,Convenience-First,3.44,1.57,6.05,0.3,1,2,0.17,-0.4,67.1,2.2,Monitor with standard nudges
GRB100020,Thailand,Bangkok,25-34,34,1,1,4,5,2,4,0,0,3,4,0.71,Food,Promo Opportunist,0.71,4.2,17,0.26,Mobility,42.1,1.0,0,86.1,85.07,812.79,Low-Value,1,0.39,0.08,0.25,0,Reliable,0.09,9.8,10.6,0.8,0.08,1,1.1,27.4,0,0.08,Moderately Sensitive,3.86,1.33,5.28,0.06,1,0,0.03,-1.1,89.5,1.8,Monitor with standard nudges
GRB100021,Vietnam,Hanoi,25-34,9,0,0,14,0,0,2,0,0,1,2,0.38,Mobility,Ride Specialist,0.18,4.6,22,0.28,Food,40.5,42.6,0,77.9,61.11,388.96,Low-Value,0,0.5,0.2,0.56,0,Average,0.14,10.3,15.0,4.7,0.18,3,3.6,55.9,1,0.22,Moderately Sensitive,3.24,1.2,4.19,0.11,2,0,0.04,-0.79,74.2,1.8,Monitor with standard nudges
GRB100022,Indonesia,Surabaya,25-34,13,1,0,1,20,5,1,0,1,3,5,0.87,Food,Food Specialist,0.2,7.0,5,0.4,Mobility,50.5,1.0,0,83.0,170.69,1492.21,Mid-Value,1,0.52,0.17,0.6,0,Average,0.18,9.1,13.9,4.8,0.24,5,2.8,54.7,0,0.01,Convenience-First,3.1,1.42,4.41,0.19,0,0,0.03,-0.51,77.4,2.2,Monitor with standard nudges
GRB100023,Myanmar,Yangon,18-24,24,1,1,1,17,1,1,1,1,4,6,0.98,Food,Food Specialist,0.34,4.8,14,0.43,Mobility,55.8,15.7,0,69.0,163.11,1436.8,Mid-Value,1,0.23,0.28,0.61,0,High-Risk,0.25,9.3,17.1,7.8,0.3,4,1.8,70.6,1,0.41,Moderately Sensitive,2.6,1.32,4.43,0.17,0,4,0.26,-1.21,62.1,1.8,Monitor with standard nudges
GRB100024,Philippines,Cebu,18-24,22,0,0,1,4,0,2,0,0,2,3,0.52,Food,At-Risk Single-App User,0.14,2.5,31,0.17,Mobility,23.4,34.2,0,67.2,38.69,408.47,Low-Value,0,0.51,0.26,0.55,0,Average,0.16,12.5,17.8,5.3,0.21,4,2.9,50.7,0,0.06,Highly Sensitive,3.49,1.47,5.53,0.26,1,1,0.09,-1.38,68.5,1.5,Surge cap + fare explanation
GRB100025,Philippines,Cebu,25-34,25,0,0,19,17,3,10,2,1,3,6,1.0,Mobility,Power User,0.33,7.0,7,0.67,Mart,43.9,1.0,0,95.4,312.29,2829.97,High-Value,1,0.17,0.14,0.55,0,Average,0.16,8.5,12.7,4.2,0.17,3,2.7,49.8,0,0.09,Highly Sensitive,3.16,1.22,4.71,0.03,4,1,0.07,-1.45,77.4,1.5,Surge cap + fare explanation
GRB100026,Malaysia,Kuala Lumpur,25-34,34,1,1,3,4,0,3,1,1,1,5,0.8,Finance,At-Risk Single-App User,0.3,3.6,52,0.35,GrabPay,35.2,30.1,0,81.8,76.06,789.04,Low-Value,1,0.31,0.12,0.33,0,Average,0.16,9.5,13.8,4.3,0.14,3,0.6,56.1,1,0.31,Moderately Sensitive,4.2,1.18,5.35,0.0,1,1,0.09,-0.85,82.6,1.8,Monitor with standard nudges
GRB100027,Indonesia,Surabaya,25-34,3,1,1,4,11,3,5,0,0,8,4,0.6,Food,Promo Opportunist,0.44,4.1,23,0.55,Mobility,49.9,26.9,0,72.0,102.48,796.25,Low-Value,1,0.61,0.15,0.52,1,Average,0.17,9.2,13.7,4.5,0.19,4,2.9,55.2,1,0.21,Moderately Sensitive,2.93,1.47,5.06,0.26,0,3,0.23,-0.94,68.2,1.8,Monitor with standard nudges
GRB100028,Singapore,Singapore Core,35-44,33,1,1,8,1,0,7,1,1,0,5,0.75,Mobility,Ride Specialist,0.33,4.3,5,0.17,Food,42.8,7.1,0,80.8,117.04,1132.15,Mid-Value,1,0.48,0.32,0.25,0,Reliable,0.11,8.1,10.2,2.1,0.17,3,3.4,43.5,0,0.08,Moderately Sensitive,7.52,1.29,10.4,0.1,3,1,0.11,-0.82,73.0,1.8,Monitor with standard nudges
GRB100029,Malaysia,Penang,35-44,22,1,1,8,5,0,5,0,0,4,3,0.5,Mobility,Promo Opportunist,0.78,4.6,9,0.24,Finance,46.6,1.0,0,76.1,77.24,695.96,Low-Value,0,0.37,0.09,0.33,0,Average,0.14,8.8,13.1,4.3,0.14,2,2.7,35.2,0,0.07,Moderately Sensitive,4.21,1.31,5.92,0.18,1,1,0.07,-1.18,67.9,1.8,Monitor with standard nudges
GRB100030,Vietnam,Hanoi,25-34,20,1,1,0,0,0,0,1,1,0,2,0.35,Finance,At-Risk Single-App User,0.43,0.2,47,0.18,GrabPay,31.6,56.5,0,75.1,20.0,273.14,Low-Value,0,0.5,0.17,0.55,1,Average,0.15,10.2,14.4,4.2,0.18,3,4.8,65.4,1,0.28,Highly Sensitive,2.96,1.3,4.4,0.11,2,1,0.08,-1.57,77.0,1.5,Surge cap + fare explanation
GRB100031,Vietnam,Da Nang,25-34,6,1,1,8,1,0,7,0,0,0,3,0.45,Mobility,Ride Specialist,0.45,4.5,12,0.31,Food,42.8,22.0,0,67.8,52.89,461.46,Low-Value,0,0.41,0.2,0.54,0,Average,0.16,8.5,15.0,6.5,0.17,5,4.5,51.5,0,0.13,Highly Sensitive,3.26,1.25,4.78,0.14,3,1,0.14,-1.77,70.7,1.5,Surge cap + fare explanation
GRB100032,Myanmar,Yangon,18-24,28,0,0,1,2,0,24,2,1,2,5,0.88,GrabPay,Payments Ecosystem User,0.1,4.3,19,0.32,Mart,33.5,27.2,0,77.0,91.34,976.97,Low-Value,1,0.42,0.42,0.55,0,Average,0.17,8.5,15.2,6.7,0.18,3,4.0,62.0,1,0.21,Moderately Sensitive,2.92,1.47,5.09,0.25,2,2,0.08,-0.91,73.0,1.8,Monitor with standard nudges
GRB100033,Indonesia,Surabaya,25-34,2,0,0,3,16,1,1,1,0,1,5,0.84,Food,Food Specialist,0.25,6.5,22,0.41,Mobility,29.9,20.2,0,75.2,149.48,1241.67,Mid-Value,1,0.54,0.14,0.42,1,Average,0.15,10.3,15.6,5.3,0.14,3,5.4,53.2,0,0.1,Highly Sensitive,3.03,1.38,4.43,0.19,0,1,0.12,-1.58,82.5,1.5,Surge cap + fare explanation
GRB100034,Indonesia,Surabaya,25-34,29,0,0,9,9,2,5,0,0,9,4,0.72,Mobility,Promo Opportunist,0.44,6.9,11,0.67,Finance,50.8,15.0,0,73.2,138.08,1096.64,Mid-Value,1,0.29,0.3,0.43,0,Average,0.17,9.6,14.5,4.9,0.18,3,3.3,54.0,0,0.12,Highly Sensitive,3.14,1.38,5.59,0.15,5,2,0.09,-1.57,75.1,1.5,Surge cap + fare explanation
GRB100035,Indonesia,Jakarta,18-24,6,0,0,6,2,2,20,2,1,1,6,1.0,GrabPay,Payments Ecosystem User,0.2,3.6,14,0.36,Mart,32.8,34.0,0,71.1,131.89,1208.92,Mid-Value,1,0.43,0.38,0.54,0,Average,0.18,11.1,16.0,4.9,0.25,4,3.1,61.3,1,0.25,Highly Sensitive,3.08,1.36,5.38,0.17,3,3,0.17,-1.48,61.7,1.5,Surge cap + fare explanation
GRB100036,Malaysia,Johor Bahru,25-34,23,1,1,15,0,0,3,1,1,1,4,0.62,Mobility,Ride Specialist,0.2,2.8,11,0.37,Food,44.2,11.9,0,75.2,117.1,1079.07,Mid-Value,1,0.36,0.17,0.3,0,Average,0.11,9.9,12.6,2.7,0.1,0,2.5,34.8,0,0.07,Highly Sensitive,4.53,1.2,6.24,0.12,2,2,0.1,-1.43,75.3,1.5,Surge cap + fare explanation
GRB100037,Singapore,Singapore Core,25-34,21,1,1,1,2,1,3,0,0,2,4,0.68,GrabPay,At-Risk Single-App User,0.25,0.5,43,0.25,GrabPay,38.1,30.9,0,76.0,43.0,406.22,Low-Value,1,0.13,0.15,0.34,0,Average,0.1,7.4,10.7,3.3,0.11,4,2.3,46.7,0,0.1,Moderately Sensitive,7.79,1.3,10.92,0.12,2,2,0.23,-1.02,77.1,1.8,Monitor with standard nudges
GRB100038,Indonesia,Jakarta,25-34,35,1,1,12,0,0,3,0,1,1,3,0.53,Mobility,Ride Specialist,0.25,4.2,14,0.3,Food,47.4,20.7,0,61.9,53.38,547.09,Low-Value,0,0.25,0.14,0.54,0,High-Risk,0.25,8.4,14.9,6.5,0.2,3,2.7,52.2,0,0.21,Moderately Sensitive,2.84,1.17,4.27,0.07,3,2,0.2,-0.9,74.8,1.8,Monitor with standard nudges
GRB100039,Malaysia,Johor Bahru,25-34,20,1,1,2,3,0,0,1,1,1,4,0.64,Finance,At-Risk Single-App User,0.37,1.9,57,0.3,GrabPay,32.2,60.8,1,59.6,54.98,469.04,Low-Value,1,0.7,0.15,0.37,0,High-Risk,0.24,11.1,18.9,7.8,0.22,6,3.0,63.9,1,0.4,Highly Sensitive,4.54,1.5,8.11,0.25,2,4,0.3,-1.89,57.6,1.5,Retention offer on primary service
GRB100040,Vietnam,Da Nang,25-34,14,1,1,4,7,1,2,0,0,5,4,0.61,Food,Promo Opportunist,0.68,3.0,1,0.23,Mobility,43.0,6.5,0,78.3,96.29,917.53,Low-Value,1,0.49,0.28,0.54,0,Average,0.18,10.4,15.8,5.4,0.23,3,2.9,54.4,0,0.1,Moderately Sensitive,3.2,1.51,5.22,0.26,1,1,0.11,-1.18,76.5,1.8,Monitor with standard nudges
GRB100041,Indonesia,Bandung,35-44,16,1,1,12,2,0,4,1,0,0,4,0.67,Mobility,Ride Specialist,0.32,4.2,7,0.43,Food,54.6,26.1,0,70.2,97.21,852.56,Low-Value,1,0.18,0.21,0.46,0,Average,0.16,6.9,11.9,5.0,0.21,3,1.9,55.4,1,0.22,Highly Sensitive,3.07,1.33,5.04,0.23,3,2,0.09,-1.4,66.5,1.5,Surge cap + fare explanation
GRB100042,Philippines,Davao,35-44,36,1,1,4,8,3,3,0,0,5,4,0.63,Food,Food Specialist,0.19,5.1,10,0.17,Mobility,35.8,11.0,0,87.8,82.8,765.22,Low-Value,1,0.14,0.21,0.49,0,Average,0.12,6.9,9.8,2.9,0.15,4,2.2,41.5,0,0.12,Moderately Sensitive,3.32,1.2,4.23,0.12,0,1,0.11,-0.76,79.5,1.8,Monitor with standard nudges
GRB100043,Vietnam,Da Nang,35-44,28,1,1,14,1,1,1,1,0,2,5,0.88,Mobility,Ride Specialist,0.28,3.2,18,0.31,Food,34.8,1.0,0,80.3,108.6,1108.71,Mid-Value,1,0.4,0.04,0.38,0,Average,0.12,9.0,12.1,3.1,0.14,4,3.3,42.9,0,0.13,Moderately Sensitive,3.56,1.21,5.01,0.07,3,1,0.09,-0.94,70.9,1.8,Monitor with standard nudges
GRB100044,Indonesia,Surabaya,25-34,18,1,1,9,17,3,22,2,0,2,5,0.82,GrabPay,Power User,0.24,6.9,14,0.6,Mart,48.5,14.8,0,72.9,260.33,2094.17,High-Value,1,0.7,0.06,0.56,0,Average,0.21,10.4,16.9,6.5,0.19,4,2.8,49.8,0,0.09,Highly Sensitive,3.55,1.42,5.94,0.21,1,3,0.19,-1.31,67.9,1.5,Surge cap + fare explanation
GRB100045,Philippines,Davao,35-44,19,1,1,12,15,7,26,1,1,3,6,1.0,GrabPay,Power User,0.37,7.0,29,0.63,Mart,53.7,21.5,0,67.0,300.93,2289.96,High-Value,1,0.39,0.44,0.45,1,High-Risk,0.27,8.8,17.3,8.5,0.26,6,1.7,72.4,1,0.32,Moderately Sensitive,3.8,1.28,6.32,0.07,3,4,0.28,-1.05,62.4,1.8,Monitor with standard nudges
GRB100046,Philippines,Metro Manila,25-34,5,1,1,19,1,1,5,1,0,1,5,0.75,Mobility,Ride Specialist,0.39,4.6,28,0.33,Food,35.9,47.4,0,74.1,167.41,1134.2,Mid-Value,1,0.66,0.16,0.54,1,Average,0.17,11.5,16.0,4.5,0.18,3,1.1,57.0,1,0.26,Highly Sensitive,3.95,1.36,6.57,0.15,3,3,0.19,-1.58,68.4,1.5,Surge cap + fare explanation
GRB100047,Indonesia,Surabaya,25-34,26,1,1,15,7,2,19,2,1,7,6,1.0,GrabPay,Power User,0.38,7.0,13,0.36,Mart,45.7,1.0,0,89.3,210.61,1985.4,High-Value,1,0.48,0.09,0.47,0,Average,0.14,10.1,14.2,4.1,0.15,3,1.4,43.4,0,0.09,Moderately Sensitive,3.22,1.39,5.28,0.19,2,2,0.18,-1.01,71.3,1.8,Monitor with standard nudges
GRB100048,Indonesia,Surabaya,35-44,3,0,0,10,1,1,3,0,0,4,4,0.72,Mobility,Ride Specialist,0.12,3.4,15,0.3,Food,41.9,45.5,0,82.9,67.64,559.49,Low-Value,1,0.5,0.35,0.4,1,Average,0.16,10.5,15.5,5.0,0.17,2,1.3,55.1,1,0.21,Highly Sensitive,2.82,1.44,5.11,0.25,2,3,0.13,-1.45,64.2,1.5,Surge cap + fare explanation
GRB100049,Vietnam,Da Nang,25-34,30,0,0,6,4,1,0,0,0,9,3,0.46,Mobility,Promo Opportunist,0.28,4.2,7,0.19,Food,20.4,15.9,0,85.0,67.72,557.05,Low-Value,0,0.18,0.21,0.41,0,Average,0.12,5.6,9.5,3.9,0.15,4,3.3,46.3,0,0.07,Highly Sensitive,2.7,1.16,3.44,0.07,2,0,0.06,-1.62,81.0,1.5,Surge cap + fare explanation
GRB100050,Singapore,Singapore Fringe,25-34,23,1,1,2,9,0,2,0,0,4,3,0.49,Food,Promo Opportunist,0.48,4.8,31,0.48,Mobility,47.9,54.1,0,64.5,96.06,635.49,Low-Value,0,0.59,0.25,0.42,1,High-Risk,0.28,9.7,17.8,8.1,0.23,4,3.1,63.6,1,0.32,Highly Sensitive,10.32,1.45,16.41,0.16,3,4,0.23,-1.68,63.4,1.5,Surge cap + fare explanation
GRB100051,Malaysia,Penang,35-44,48,1,1,8,2,1,1,0,0,4,4,0.65,Mobility,Promo Opportunist,0.73,4.4,19,0.31,Food,57.4,35.7,0,86.1,72.26,493.42,Low-Value,1,0.36,0.16,0.4,1,Average,0.14,9.2,16.4,7.2,0.13,5,4.3,56.3,1,0.28,Highly Sensitive,4.13,1.33,5.89,0.19,1,1,0.11,-1.86,71.7,1.5,Surge cap + fare explanation
GRB100052,Singapore,Singapore Fringe,45-54,10,1,1,11,3,0,3,0,1,1,4,0.64,Mobility,Ride Specialist,0.27,5.2,14,0.3,Food,47.5,15.6,0,81.3,168.37,1336.47,Mid-Value,1,0.58,0.14,0.23,0,Reliable,0.11,6.8,9.7,2.9,0.15,2,3.0,35.1,0,0.09,Moderately Sensitive,9.19,1.44,13.78,0.21,2,1,0.1,-0.96,67.8,1.8,Monitor with standard nudges
GRB100053,Philippines,Metro Manila,45-54,21,0,0,1,1,0,0,1,0,0,3,0.51,Finance,At-Risk Single-App User,0.12,0.7,46,0.17,GrabPay,18.7,43.4,0,75.0,31.41,412.12,Low-Value,0,0.27,0.16,0.53,0,Average,0.15,8.0,12.8,4.8,0.24,4,4.0,70.2,1,0.19,Moderately Sensitive,3.51,1.34,5.1,0.1,1,1,0.08,-0.95,79.3,1.8,Monitor with standard nudges
GRB100054,Vietnam,Da Nang,25-34,42,0,0,1,12,4,5,1,0,5,5,0.78,Food,Food Specialist,0.31,6.0,12,0.39,Mobility,35.3,1.0,0,81.4,155.63,1423.52,Mid-Value,1,0.45,0.01,0.45,0,Average,0.13,8.1,10.0,1.9,0.09,2,2.8,43.1,0,0.09,Convenience-First,2.55,1.47,4.51,0.3,0,3,0.19,-0.58,63.4,2.2,Monitor with standard nudges
GRB100055,Vietnam,Hanoi,25-34,35,1,1,8,12,6,19,2,0,2,5,0.83,GrabPay,Power User,0.4,5.8,8,0.66,Mart,63.9,1.0,0,84.2,210.28,1874.66,High-Value,1,0.48,0.17,0.74,0,Average,0.18,10.6,14.5,3.9,0.16,3,2.8,51.9,0,0.08,Moderately Sensitive,3.15,1.47,4.87,0.3,0,1,0.09,-1.15,66.7,1.8,Monitor with standard nudges
GRB100056,Philippines,Cebu,35-44,14,1,1,18,6,6,23,2,0,8,5,0.85,GrabPay,Power User,0.3,7.0,15,0.45,Mart,61.4,23.9,0,85.6,261.25,1997.64,High-Value,1,0.39,0.22,0.53,0,Average,0.11,11.0,16.9,5.9,0.11,2,3.3,55.2,1,0.28,Highly Sensitive,3.43,1.43,5.45,0.22,2,1,0.07,-1.47,66.9,1.5,Surge cap + fare explanation
GRB100057,Indonesia,Bandung,25-34,24,1,0,3,6,0,4,0,0,7,3,0.49,Food,Promo Opportunist,0.6,3.6,17,0.23,Mobility,30.4,15.7,0,67.7,47.17,319.98,Low-Value,0,0.49,0.4,0.45,0,Average,0.17,11.4,17.1,5.7,0.18,4,3.8,40.5,0,0.06,Highly Sensitive,3.29,1.3,4.67,0.16,1,1,0.1,-1.58,75.6,1.5,Surge cap + fare explanation
GRB100058,Thailand,Chiang Mai,45-54,22,1,1,20,3,0,1,1,0,0,4,0.63,Mobility,Ride Specialist,0.29,6.6,1,0.28,Food,42.0,7.5,0,81.1,154.33,1295.94,Mid-Value,1,0.37,0.19,0.55,0,Average,0.16,8.3,8.3,0.0,0.2,3,2.9,27.3,0,0.05,Moderately Sensitive,4.07,1.34,5.85,0.19,1,1,0.1,-1.17,77.1,1.8,Monitor with standard nudges
GRB100059,Singapore,Singapore Core,25-34,25,0,0,4,23,3,7,0,0,2,4,0.71,Food,Food Specialist,0.2,7.0,11,0.3,Mobility,24.3,18.1,0,71.1,251.71,1889.12,High-Value,1,0.3,0.0,0.16,0,Average,0.14,7.6,12.0,4.4,0.12,2,3.5,38.8,0,0.05,Moderately Sensitive,9.03,1.17,11.36,0.11,2,2,0.12,-1.14,63.8,1.8,Monitor with standard nudges
